Date,Commodity,Market,County,Price,Unit
2025-02-25,Maize,Nairobi,Nairobi,3850,90kg bag
2025-02-25,Maize,Nakuru,Nakuru,3780,90kg bag
2025-02-25,Maize,Mombasa,Mombasa,3920,90kg bag
2025-02-25,Wheat,Nairobi,Nairobi,4200,90kg bag
2025-02-25,Wheat,Eldoret,Uasin Gishu,4150,90kg bag
2025-02-25,Rice,Nairobi,Nairobi,7500,50kg bag
2025-02-25,Rice,Mombasa,Mombasa,7350,50kg bag
2025-02-25,Beans,Nairobi,Nairobi,8500,90kg bag
2025-02-25,Beans,Nakuru,Nakuru,8200,90kg bag
2025-02-25,Beans,Kisumu,Kisumu,8400,90kg bag
2025-02-25,Sorghum,Nairobi,Nairobi,3200,90kg bag
2025-02-25,Irish Potatoes,Nairobi,Nairobi,55,kg
2025-02-25,Irish Potatoes,Kiambu,Kiambu,52,kg
2025-02-25,Coffee (dried),Nairobi,Nairobi,450,kg
